date,total_distance_km,center_lat,center_lon
2024-12-04,7.88,40.892124,29.34513
2024-12-05,7.31,40.834128,29.325966
2024-12-07,12.47,41.003818,29.107844
2024-12-08,63.17,40.904225,29.288352
2024-12-09,25.05,40.873272,29.322879
2024-12-11,31.13,40.929988,29.141301
2024-12-12,0.16,40.831194,29.317015
2024-12-13,39.3,40.98704,29.190951
2024-12-14,34.03,40.951171,29.242416
2024-12-15,31.9,40.904743,29.324059
2024-12-16,13.67,40.899558,29.359016
2024-12-17,50.27,40.883725,29.323041
2024-12-18,32.46,40.882772,29.332341
2024-12-19,16.02,40.883224,29.348421
2024-12-21,7.73,40.82926,29.306814
2024-12-22,0.0,40.830576,29.31629
2024-12-23,16.54,40.864433,29.35077
2024-12-24,8.55,40.881018,29.368253
2024-12-25,4.99,40.956929,29.104091
2024-12-26,19.44,40.911064,29.340307
2024-12-27,17.32,40.84079,29.33367
2024-12-28,31.77,40.958773,29.189773
2024-12-29,4.36,40.93418,29.337386
2024-12-30,12.31,40.850679,29.311613
2024-12-31,17.0,40.895677,29.321237
2025-01-01,19.63,40.876495,29.344202
2025-01-02,29.25,40.878924,29.365557
2025-01-03,31.14,40.862109,29.325656
2025-01-04,18.57,40.843879,29.332418
2025-01-05,8.7,40.850812,29.338688
2025-01-06,28.7,40.889521,29.34691
2025-01-08,8.76,40.884988,29.37259
2025-01-09,26.55,40.885055,29.358292
2025-01-10,23.43,40.873679,29.349192
